Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,103.0,103.0,106.0,106.0,115.0,115.0,119.0,118.0,16,16,140,145,-,20°,21°,-,3L,-,-
2,6H,-,98.0,96.0,100.0,99.0,131.0,130.0,134.0,133.0,6,6,132,136,-,10°,11°,-,2R,-,-
3,6H,-,112.0,111.0,116.0,116.0,128.0,128.0,133.0,132.0,16,16,152,157,-,16°,17°,-,0,-,-
4,6H,-,113.0,113.0,118.0,118.0,125.0,124.0,129.0,129.0,16,17,153,158,-,18°,20°,-,5L,-,-
5,6H,-,111.0,110.0,115.0,115.0,137.0,136.0,141.0,140.0,12,12,157,162,-,15°,16°,-,6L,-,-
6,6H,-,17.0,17.0,17.0,17.0,45.0,44.0,45.0,44.0,1,1,83,84,-,12°,13°,-,0,-,-
7,6H,-,105.0,104.0,108.0,108.0,131.0,131.0,135.0,134.0,13,13,147,152,-,18°,19°,-,5L,-,-
8,6H,-,23.0,22.0,23.0,22.0,47.0,46.0,47.0,46.0,2,2,64,65,-,25°,27°,-,0,-,-
9,6H,-,57.0,56.0,58.0,56.0,90.0,89.0,91.0,89.0,3,3,117,120,-,12°,13°,-,1R,-,-
10,6H,-,21.0,21.0,21.0,21.0,45.0,44.0,45.0,44.0,3,3,59,59,-,26°,27°,-,0,-,-
11,PW,-,36.0,36.0,36.0,36.0,53.0,52.0,53.0,52.0,6,7,70,70,-,34°,35°,-,0,-,-
12,PW,-,30.0,29.0,30.0,29.0,42.0,42.0,42.0,42.0,7,7,63,63,-,39°,40°,-,0,-,-
13,8i,-,42.0,41.0,42.0,42.0,65.0,64.0,65.0,64.0,4,4,86,87,-,19°,21°,-,0,-,-
14,8i,-,49.0,48.0,49.0,48.0,59.0,58.0,59.0,58.0,7,7,83,83,-,25°,26°,-,0,-,-
15,8i,-,45.0,44.0,45.0,44.0,61.0,61.0,61.0,61.0,6,6,85,86,-,26°,27°,-,0,-,-
16,8i,-,33.0,30.0,33.0,30.0,50.0,47.0,50.0,47.0,0,0,123,126,-,2°,2°,-,0,-,-
17,8i,-,47.0,46.0,47.0,46.0,69.0,69.0,70.0,69.0,4,4,90,92,-,19°,20°,-,0,-,-
18,8i,-,44.0,43.0,44.0,43.0,65.0,64.0,65.0,64.0,5,5,86,88,-,18°,20°,-,0,-,-
19,8i,-,53.0,52.0,53.0,53.0,68.0,67.0,68.0,67.0,6,6,92,94,-,21°,23°,-,0,-,-
20,6i,-,41.0,40.0,41.0,40.0,64.0,63.0,64.0,63.0,5,5,83,84,-,23°,25°,-,0,-,-
21,6i,-,55.0,54.0,55.0,54.0,75.0,74.0,75.0,74.0,6,6,94,95,-,15°,16°,-,0,-,-
22,3H,-,52.0,51.0,52.0,51.0,81.0,80.0,81.0,80.0,3,3,101,103,-,16°,18°,-,0,-,-
23,3H,-,62.0,61.0,63.0,62.0,92.0,91.0,93.0,92.0,5,5,115,117,-,14°,16°,-,1R,-,-
24,3H,-,77.0,77.0,78.0,78.0,106.0,105.0,107.0,106.0,7,7,126,129,-,14°,16°,-,1R,-,-
25,5i,-,36.0,35.0,36.0,35.0,60.0,59.0,60.0,59.0,3,3,80,81,-,20°,21°,-,0,-,-
26,5i,-,55.0,54.0,55.0,54.0,65.0,64.0,65.0,64.0,8,8,92,93,-,25°,26°,-,0,-,-
27,5i,-,55.0,55.0,55.0,55.0,59.0,59.0,59.0,59.0,16,16,92,93,-,42°,42°,-,1L,-,-
28,5i,-,36.0,34.0,36.0,34.0,66.0,65.0,66.0,65.0,2,2,104,106,-,10°,11°,-,0,-,-
29,5i,-,95.0,94.0,97.0,96.0,127.0,126.0,129.0,128.0,7,8,143,147,-,12°,13°,-,1R,-,-
30,5i,-,60.0,59.0,60.0,60.0,61.0,61.0,62.0,61.0,19,19,99,100,-,41°,42°,-,1L,-,-
31,5i,-,104.0,103.0,107.0,107.0,109.0,109.0,112.0,112.0,19,19,130,134,-,23°,25°,-,1R,-,-
32,5i,-,72.0,71.0,72.0,71.0,105.0,104.0,105.0,104.0,4,4,130,133,-,9°,10°,-,2R,-,-
33,5i,-,76.0,75.0,76.0,76.0,95.0,94.0,96.0,95.0,10,10,115,117,-,22°,23°,-,0,-,-
34,5i,-,15.0,15.0,15.0,15.0,43.0,43.0,43.0,43.0,0,0,71,72,-,7°,8°,-,0,-,-
35,5i,-,93.0,93.0,95.0,95.0,104.0,103.0,106.0,106.0,15,15,127,130,-,22°,24°,-,1R,-,-
36,5i,-,106.0,105.0,109.0,109.0,126.0,125.0,130.0,129.0,14,15,143,147,-,19°,20°,-,3R,-,-
37,5i,-,16.0,16.0,16.0,16.0,41.0,41.0,41.0,41.0,1,1,69,69,-,10°,11°,-,0,-,-
