Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,85.0,85.0,87.0,87.0,96.0,96.0,98.0,98.0,11,12,127,130,-,19°,20°,-,0,-,-
2,?,-,69.0,68.0,69.0,69.0,95.0,95.0,95.0,95.0,6,6,122,125,-,14°,15°,-,3L,-,-
3,?,-,95.0,95.0,98.0,97.0,105.0,105.0,107.0,107.0,15,16,131,135,-,22°,23°,-,2L,-,-
4,?,-,97.0,97.0,100.0,100.0,101.0,101.0,104.0,104.0,19,19,132,136,-,26°,27°,-,1L,-,-
5,?,-,87.0,87.0,89.0,89.0,94.0,94.0,95.0,95.0,14,15,125,128,-,21°,23°,-,0,-,-
6,?,-,86.0,86.0,88.0,88.0,99.0,99.0,100.0,100.0,12,13,126,129,-,20°,22°,-,2L,-,-
7,?,-,102.0,102.0,105.0,105.0,113.0,113.0,116.0,116.0,16,16,136,139,-,20°,22°,-,3L,-,-
8,?,-,105.0,105.0,109.0,109.0,118.0,118.0,122.0,122.0,17,18,147,152,-,20°,21°,-,6R,-,-
9,?,-,63.0,63.0,63.0,63.0,95.0,94.0,95.0,95.0,4,4,129,132,-,11°,12°,-,2L,-,-
10,?,-,109.0,109.0,113.0,113.0,127.0,127.0,131.0,131.0,13,14,148,153,-,17°,18°,-,0,-,-
11,?,-,62.0,62.0,62.0,62.0,98.0,98.0,98.0,98.0,3,3,140,144,-,9°,10°,-,2L,-,-
12,?,-,31.0,31.0,31.0,31.0,78.0,78.0,78.0,78.0,1,1,161,166,-,4°,5°,-,0,-,-
13,?,-,24.0,24.0,24.0,24.0,49.0,49.0,49.0,49.0,2,2,62,62,-,31°,32°,-,0,-,-
14,?,-,96.0,96.0,98.0,98.0,118.0,118.0,121.0,121.0,9,10,139,143,-,15°,16°,-,2L,-,-
15,?,-,84.0,84.0,86.0,86.0,111.0,111.0,113.0,113.0,8,8,137,140,-,13°,15°,-,5L,-,-
16,?,-,93.0,93.0,95.0,95.0,112.0,112.0,115.0,114.0,12,12,138,142,-,17°,19°,-,1R,-,-
17,?,-,92.0,91.0,94.0,93.0,108.0,108.0,110.0,110.0,12,12,133,137,-,18°,19°,-,3R,-,-
18,?,-,99.0,99.0,102.0,102.0,126.0,126.0,129.0,129.0,10,10,141,145,-,14°,16°,-,2L,-,-
19,?,-,24.0,24.0,24.0,24.0,41.0,41.0,41.0,41.0,4,4,67,68,-,29°,31°,-,0,-,-
20,?,-,22.0,21.0,22.0,21.0,59.0,59.0,59.0,59.0,1,1,117,120,-,5°,5°,-,0,-,-
21,?,-,90.0,90.0,92.0,92.0,119.0,119.0,121.0,121.0,9,9,131,135,-,16°,18°,-,3L,-,-
22,?,-,92.0,92.0,94.0,94.0,113.0,113.0,116.0,116.0,9,9,140,145,-,13°,14°,-,1R,-,-
23,?,-,35.0,35.0,36.0,35.0,49.0,48.0,49.0,48.0,5,5,87,88,-,27°,29°,-,0,-,-
24,?,-,41.0,41.0,41.0,41.0,78.0,78.0,78.0,78.0,1,1,131,134,-,5°,6°,-,0,-,-
25,?,-,33.0,33.0,33.0,33.0,81.0,81.0,81.0,81.0,0,0,139,143,-,2°,2°,-,0,-,-
26,?,-,101.0,101.0,104.0,104.0,104.0,104.0,107.0,107.0,20,21,134,138,-,25°,27°,-,0,-,-
27,?,-,62.0,62.0,62.0,62.0,66.0,66.0,66.0,66.0,11,11,100,101,-,30°,31°,-,1R,-,-
28,?,-,57.0,57.0,57.0,57.0,68.0,68.0,68.0,68.0,8,8,99,100,-,26°,28°,-,1R,-,-
29,?,-,84.0,84.0,85.0,85.0,105.0,104.0,106.0,106.0,10,10,128,131,-,18°,19°,-,0,-,-
30,?,-,30.0,29.0,30.0,29.0,70.0,70.0,70.0,70.0,1,1,154,159,-,8°,9°,-,0,-,-
31,?,-,54.0,54.0,54.0,54.0,61.0,61.0,62.0,62.0,10,10,90,91,-,31°,32°,-,1R,-,-
32,?,-,42.0,42.0,42.0,42.0,56.0,55.0,56.0,55.0,6,6,88,90,-,25°,27°,-,0,-,-
33,?,-,133.0,133.0,141.0,141.0,156.0,156.0,164.0,164.0,15,16,182,189,-,12°,13°,-,4R,-,-
34,?,-,129.0,129.0,136.0,136.0,150.0,150.0,157.0,157.0,17,18,179,185,-,13°,14°,-,5R,-,-
35,?,-,138.0,138.0,147.0,147.0,149.0,149.0,157.0,157.0,16,17,185,192,-,11°,12°,-,1R,-,-
