Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,7i,-,15.0,15.0,15.0,15.0,28.0,28.0,28.0,28.0,3,3,50,50,-,30°,32°,-,0,-,-
2,7i,-,73.0,72.0,74.0,73.0,87.0,86.0,88.0,87.0,7,7,126,129,-,14°,16°,-,1L,-,-
3,7i,-,74.0,73.0,75.0,74.0,84.0,83.0,85.0,84.0,9,9,122,125,-,19°,21°,-,1L,-,-
4,7i,-,72.0,72.0,73.0,72.0,83.0,82.0,83.0,82.0,8,8,115,117,-,18°,19°,-,1R,-,-
5,7i,-,56.0,55.0,56.0,55.0,82.0,81.0,82.0,81.0,4,4,116,119,-,13°,14°,-,2L,-,-
6,7i,-,75.0,74.0,76.0,75.0,91.0,90.0,92.0,91.0,6,6,127,131,-,15°,16°,-,2L,-,-
7,7i,-,57.0,56.0,58.0,56.0,85.0,84.0,85.0,84.0,3,3,134,138,-,9°,10°,-,1L,-,-
8,7i,-,54.0,52.0,54.0,53.0,80.0,79.0,80.0,79.0,3,3,119,122,-,13°,14°,-,2L,-,-
9,7i,-,85.0,84.0,86.0,86.0,93.0,93.0,95.0,94.0,10,10,127,131,-,18°,20°,-,1L,-,-
10,7i,-,26.0,24.0,26.0,24.0,61.0,60.0,61.0,60.0,1,1,108,110,-,6°,7°,-,0,-,-
11,7i,-,57.0,56.0,57.0,56.0,76.0,75.0,76.0,75.0,5,5,113,115,-,15°,16°,-,2L,-,-
12,7i,-,74.0,73.0,75.0,74.0,85.0,85.0,86.0,86.0,8,8,121,124,-,17°,19°,-,1L,-,-
13,7i,-,58.0,58.0,59.0,58.0,77.0,77.0,78.0,77.0,5,5,111,114,-,16°,17°,-,0,-,-
14,7i,-,59.0,58.0,60.0,58.0,81.0,80.0,82.0,81.0,4,4,119,122,-,12°,13°,-,1L,-,-
15,7i,-,61.0,60.0,61.0,61.0,82.0,81.0,82.0,81.0,4,4,130,133,-,13°,15°,-,3L,-,-
16,7i,-,73.0,73.0,74.0,73.0,87.0,86.0,88.0,87.0,7,7,130,133,-,16°,17°,-,3L,-,-
17,7i,-,73.0,72.0,74.0,73.0,98.0,97.0,99.0,98.0,5,5,132,136,-,13°,14°,-,3L,-,-
18,7i,-,57.0,56.0,57.0,56.0,76.0,75.0,76.0,76.0,5,5,118,120,-,19°,20°,-,2L,-,-
19,7i,-,42.0,41.0,42.0,41.0,56.0,55.0,56.0,55.0,6,6,79,79,-,27°,28°,-,1L,-,-
20,7i,-,57.0,56.0,57.0,56.0,65.0,65.0,65.0,65.0,8,8,94,96,-,23°,25°,-,1L,-,-
21,7i,-,89.0,89.0,91.0,90.0,112.0,111.0,114.0,113.0,6,6,143,147,-,11°,12°,-,1R,-,-
22,7i,-,98.0,97.0,101.0,100.0,119.0,118.0,121.0,120.0,8,8,157,162,-,11°,12°,-,2L,-,-
23,7i,-,84.0,83.0,85.0,84.0,107.0,106.0,108.0,107.0,5,5,149,153,-,11°,13°,-,3L,-,-
24,7i,-,40.0,39.0,40.0,39.0,78.0,76.0,78.0,76.0,1,1,144,149,-,4°,4°,-,0,-,-
25,7i,-,104.0,103.0,107.0,107.0,125.0,124.0,128.0,127.0,7,8,158,163,-,11°,12°,-,0,-,-
26,7i,-,27.0,26.0,27.0,26.0,54.0,54.0,54.0,54.0,2,2,116,119,-,12°,13°,-,0,-,-
27,7i,-,23.0,21.0,23.0,21.0,70.0,68.0,70.0,68.0,1,1,119,122,-,6°,7°,-,1R,-,-
28,7i,-,21.0,21.0,21.0,21.0,39.0,38.0,39.0,38.0,3,3,76,77,-,33°,34°,-,0,-,-
29,7i,-,53.0,52.0,54.0,52.0,86.0,84.0,86.0,84.0,2,2,136,139,-,8°,8°,-,2L,-,-
30,7i,-,73.0,72.0,74.0,73.0,85.0,84.0,86.0,85.0,7,7,126,129,-,15°,17°,-,2L,-,-
