Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,70.0,70.0,71.0,71.0,114.0,113.0,114.0,114.0,3,3,164,169,-,8°,9°,-,2L,-,-
2,?,-,66.0,66.0,67.0,67.0,107.0,107.0,108.0,108.0,2,2,221,230,-,5°,5°,-,2L,-,-
3,?,-,109.0,109.0,113.0,113.0,149.0,149.0,154.0,154.0,5,5,171,177,-,6°,7°,-,4L,-,-
4,?,-,28.0,27.0,28.0,27.0,54.0,53.0,54.0,53.0,2,2,78,79,-,16°,18°,-,0,-,-
5,?,-,23.0,23.0,23.0,23.0,68.0,67.0,68.0,67.0,1,1,111,114,-,7°,8°,-,1R,-,-
6,?,-,104.0,104.0,107.0,107.0,136.0,136.0,139.0,139.0,3,3,174,180,-,6°,6°,-,0,-,-
7,?,-,71.0,71.0,71.0,71.0,112.0,112.0,112.0,112.0,4,4,146,150,-,7°,8°,-,3L,-,-
8,?,-,24.0,23.0,24.0,23.0,56.0,55.0,56.0,55.0,1,1,74,74,-,12°,13°,-,0,-,-
9,?,-,19.0,19.0,19.0,19.0,39.0,39.0,39.0,39.0,3,3,60,60,-,25°,27°,-,0,-,-
10,?,-,40.0,39.0,40.0,39.0,89.0,88.0,89.0,88.0,1,1,159,164,-,3°,3°,-,0,-,-
11,?,-,29.0,28.0,29.0,28.0,53.0,53.0,53.0,53.0,3,3,83,84,-,18°,20°,-,0,-,-
12,?,-,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,1,1,91,92,-,19°,21°,-,0,-,-
13,?,-,106.0,106.0,110.0,110.0,130.0,130.0,134.0,134.0,9,9,158,164,-,12°,13°,-,2L,-,-
14,?,-,26.0,26.0,26.0,26.0,50.0,50.0,50.0,50.0,2,2,53,53,-,32°,33°,-,0,-,-
15,?,-,24.0,24.0,24.0,24.0,52.0,52.0,52.0,52.0,2,2,83,84,-,15°,16°,-,0,-,-
16,?,-,93.0,93.0,95.0,95.0,102.0,102.0,105.0,104.0,16,16,140,144,-,22°,24°,-,4R,-,-
17,?,-,76.0,76.0,77.0,77.0,112.0,112.0,113.0,113.0,4,4,144,149,-,9°,10°,-,2L,-,-
18,?,-,129.0,129.0,136.0,136.0,144.0,144.0,151.0,151.0,20,21,169,175,-,16°,17°,-,3L,-,-
19,?,-,122.0,122.0,128.0,128.0,135.0,135.0,141.0,141.0,16,16,165,170,-,16°,17°,-,3L,-,-
20,?,-,140.0,140.0,149.0,149.0,148.0,148.0,157.0,157.0,23,24,182,189,-,17°,19°,-,2R,-,-
